bigmfactor,Cplex,L0bnb,Sbnb,SbnbNscr,SbnbPeel
1.0,161.34782608695653,16.82608695652174,28.82608695652174,28.73913043478261,28.73913043478261
1.5,1130.75,1283.6666666666667,32.5,32.333333333333336,32.583333333333336
2.0,2656.84,10988.52,38.92,37.88,37.0
2.5,13575.0,18742.76,59.64,55.8,51.64
3.0,26701.636363636364,67274.72727272728,147.18181818181819,97.95652173913044,77.45454545454545
3.5,170781.15,95850.1,494.1,224.56521739130434,123.9
4.0,194337.25,113139.5,946.0,461.0,228.33333333333334
4.5,249568.33333333333,155757.0,1454.0,819.1,303.0
5.0,345278.0,176161.8,3032.2,1800.7142857142857,584.2
